Indikator,Tipe
melakukan pendekatan terhadap orang yang akan ditemui,E
Saya akan menerimanya dan mencoba untuk mempersiapkan beberapa topik obrolan,I
Tergantung penting gaknya,I
"tidak mau, tapi jika memang ingin bertemu ya ditempat ramai",E
"Bila diminta, saya akan berusaha sebisa mungkin untuk berinteraksi secara sopan dengan orang tersebut",I
akan berusaha mengajak ngobrol ,I
terlebih dahulu mengamati mereka dan memahami karakter mereka,I
Meminta bertemu ramai ramai (tidak hanya berdua),E
"Memulai sebuah pertemuan dengan bahasa yang sopan, berperilaku yang sopan santun, dan datang di pertemuan tepat waktu.",I
saya akan bertanya mengapa saya harus menemui orang tersebut,I
Menolaknya dengan halus,I
Mencari informasi tentangnya lalu memikirkannya terlebih dahulu ,I
menerima jika ajakan baik dan tetap waspada,I
"Saya akan mengajak teman sebaya saya untuk ikut saya bertemu dengan orang baru yang belum saya kenal, karena menurut saya tidak ada salahnya kita mengantisipasi bila terjadi hal yang tidak diinginkan.",I
"Saya akan mencari informasi mengenai orang tersebut, bisa melalui teman maupun media sosial dari orang tersebut agar saya bisa mengetahui bagaimana sifat dari orang  tersebut ",E
Saya akan menunggu teman saya yang sudah kenal dengan orang baru tersebut untuk diperkenalkan atau jika teman saya tidak ada/tidak datang maka mau tidak mau saya harus berkenalan dengan orang baru tersebut ,I
Menolak ajakan tersebut,I
iya bertemu saja ,E
"saya akan bertanya terlebih dahulu kepada orang yang baru saja dikenal itu. Dan, mencari lokasi atau tempat yang akan menjadi tempat pertemuan ",E
Mencari topik pembicaraan untuk memulai sebuah komunikasi/timbal balik,E
saya akan datang dan mengajak berbincang ,E
Memulai obrolan dan membuka topik umum agar yang diajak bicara mau berinteraksi juga,E
mencoba untuk berkenalan ,E
berkenalan dan basa basi,E
"kalau awal awal mengenal mungkin belum berani ketemu, atau tidak bertemu tetapi membawa temen yang lain untuk menemani",I
mengajak berkenalan dan bertukar ig,E
Biasa saja karena kita dapat bertemu dengan orang baru dan bertukar pikiran,E
saya akan mencoba menemuinya tetapi bersama dengan teman atau keluarga atau kerabat saya,I
mempersiapkan diri ,I
biasa saja,E
"Saya akan bertemu dengannya, dan saya akan mengajak ngobrol dengan topik yang pas untuk lawan bicara. ",E
Ya kenalan,E
berkenalan terlebih dahulu,E
"Maka saya akan mencoba mencari tau orang yang akan saya temui itu terlebih dahulu, dan saya akan akan mencoba menyesuaikan diri untuk memberi kesan pada pertemuan pertama kami",E
berusaha mencari topik untuk memulai perbincangan ,E
Berdiam saja sampai orang tersebut mengajak saya ngobrol,I
berkenalan terlebih dahulu,E
"mengucap salam, berjabat tangan, memperkenalkan diri",E
Saya akan bertemu dengan memperkenalkan diri saya kepada orang tersebut,E
senyum lalu mengajak kenalan ,E
memulai pertemuan dengan membawa suasana yang rileks agar orang yang baru kita kenal dapat mengenal kita dengan perasaan yang senang ,E
saya akan mencoba untuk memulai pembicaraan dengan enjoy jika memang lawan bicara kita tida menyenangkan kita bisa mencoba hal baru atau saja lawan bicara tersebut tidak berkenan dengan kita ,E
menanyakan identitas orang tersebut seperti nama rumah dan lain lain tetapi dengan cara yang sopan karena kita sebelumnya belum akrab dengan orang tersebut,E
menyesuaikan diri dan melihat kondisi agar bisa mengakrabkan diri,E
Saya akan menelisik latar belakangnya lebih dahulu dari orang tersebut.,I
Saya akan bertanya tanya dulu tentang seseorang itu dan akan mengajaknya melakukan aktivitas supaya menjadi lebih dekat,E
Melakukan bersamaan memperkenalkan diri sendiri ,E
"saya akan melakukan pertemuan tersebut berdasarkan: situasi, kepribadian orang tersebut dan keperluannya.",I
Berkenalan,E
langsung senyum dan langsung akrab karena saya anaknya sokab (sok akrab),E
tidak mau,I
bersalaman dan melakukan percakapan,E
berkenalan,E
"Berkenalan, menyapa",E
saya akan sedikit segan ,I
saya akan tetap menemui dan mungkin akan memulai pembicaraan ,E
akan bertemu dengannya,E
berkenalan dan berperilaku sesuai keadaan,E
Jika di perlukan dan mood saya bagus saya akan mulai percakapan,I
"Mengajaknya untuk berkenalan secara sopan, dimulai dari saya memperkenalkan diri saya terlebih dahulu",E
mengajak obrol,E
Mencari tahu tentang orang tersebut,I
Mengerjakan pertemuan ituu dengan benar ,E
